product_id,name,category,price,cost,supplier_id,weight_kg,dimensions,stock_quantity
101,Wireless Mouse,Electronics,29.99,15.00,1,0.1,"12x6x3 cm",150
102,Programming Guide,Books,49.99,25.00,2,0.8,"23x15x3 cm",80
103,Mechanical Keyboard,Electronics,79.99,40.00,1,1.2,"45x15x4 cm",45
104,Table Lamp,Home,24.99,12.00,3,2.5,"30x30x45 cm",67
105,Fiction Novel,Books,12.99,6.50,2,0.3,"20x13x2 cm",120
106,Coffee Mug,Home,39.99,18.00,4,0.4,"10x10x12 cm",89
107,Gaming Headset,Electronics,89.99,45.00,1,0.6,"20x18x8 cm",23
108,Cookbook,Books,15.99,8.00,2,0.5,"25x20x2 cm",95
109,Smartphone,Electronics,199.99,120.00,5,0.2,"15x7x1 cm",34
110,Throw Pillow,Home,34.99,15.00,3,0.3,"40x40x10 cm",78
111,Tablet,Electronics,64.99,35.00,5,0.5,"25x18x1 cm",56
112,Laptop Stand,Electronics,99.99,50.00,1,3.2,"35x25x20 cm",29